CÓDIGO OACI,TIPO,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,RAMPA(S) DE APROXIMAÇÃO,FORMATO DA ÁREA DE POUSO,DIMENSÕES,RESISTÊNCIA,SUPERFÍCIE,p1,p2,p3,p4,PORTARIAS,,,,Portaria Nº 291/2016 ,Portaria Nº 2007/2014 e alterações ,OBSERVAÇÃO
SIBY,AERÓDROMO,MONTEIRO,MONTEIRO,PB,7° 52' 42'' S,37° 8' 12'' W,619 m,VFR Diurno,14/32,1000 m,28 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2001-1496,0,0,0,PD2001-1496,,,,AD,-,-
SIBZ,AERÓDROMO,ITAPORANGA,ITAPORANGA,PB,7° 18' 30'' S,38° 6' 48'' W,292 m,VFR Diurno,13/31,1200 m,27 m,PCN 8/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2001-1495,0,0,0,PD2001-1495,,,,AD,-,-
SICA,AERÓDROMO,BREJO DAS FREIRAS,SÃO JOÃO DO RIO DO PEIXE,PB,6° 42' 15'' S,38° 30' 10'' W,310 m,VFR Diurno,9/27,950 m,25 m,"5700 kg / 0,5 MPa",Cascalho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2001-1497,0,0,0,PD2001-1497,,,,AD,-,-
SICB,AERÓDROMO,PEDRO SIMÕES PIMENTA,CUITÉ,PB,6° 29' 15'' S,36° 8' 24'' W,652 m,VFR Diurno,10/28,1150 m,30 m,"5700 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2001-1494,0,0,0,PD2001-1494,,,,AD,-,-
SIFH,AERÓDROMO,SANTA RITA DO ARAGUAIA,SANTA RITA DO ARAGUAIA,GO,17° 19' 31'' S,53° 11' 49'' W,751 m,VFR Diurno,12/30,1200 m,23 m,"5700 kg / 0,5 MPa",Cascalho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2002-1038,0,0,0,PD2002-1038,,,,AD,-,-
SILC,AERÓDROMO,AEROPORTO MUNICIPAL BOM FUTURO ,LUCAS DO RIO VERDE,MT,13° 2' 14'' S,55° 56' 32'' W,515 m,VFR Diurno,8/26,1000 m,20 m,"5700 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2008-2076,0,0,0,PA2008-2076,,,,AD,-,-
SIMK,AERÓDROMO,TENENTE LUND PRESSOTO,FRANCA,SP,20° 35' 25'' S,47° 22' 57'' W,1003 m,VFR Diurno/Noturno,5/23,2000 m,30 m,PCN 26/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-0034,0,0,0,PA2016-0034,,,,AP-0,3ª,-
SIZX,AERÓDROMO,JUARA SUL,JUARA,MT,11° 17' 12'' S,57° 32' 20'' W,302 m,VFR Diurno,11/29,1200 m,30 m,"5700 kg / 0,5 MPa",Cascalho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2004-0791,0,0,0,PD2004-0791,,,,AD,-,-
SJAU,AERÓDROMO,ARAGUACEMA,ARAGUACEMA,TO,8° 50' 16'' S,49° 33' 28'' W,207 m,VFR Diurno,12/30,1400 m,30 m,PCN 6/F/A/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2004-0057,0,0,0,PD2004-0057,,,,AD,-,-
SJBY,AERÓDROMO,JOÃO SILVA,SANTA INÊS,MA,3° 39' 14'' S,45° 20' 42'' W,25 m,VFR Diurno,6/24,1500 m,30 m,PCN 10/F/C/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2003-1668,0,0,0,PD2003-1668,,,,AD,-,-
SJGU,AERÓDROMO,ARAGUATINS,ARAGUATINS,TO,5° 41' 4'' S,48° 6' 56'' W,125 m,VFR Diurno/Noturno,12/30,1500 m,30 m,PCN 8/F/B/Y/T,Cascalho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2004-0056,0,0,0,PD2004-0056,,,,AD,-,-
SBJA,AERÓDROMO,REGIONAL SUL,JAGUARUNA,SC,28° 40' 31'' S,49° 3' 37'' W,35 m,VFR Diurno/Noturno e IFR Diurno/Noturno,5/23,2499 m,30 m,PCN 57/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-0252,0,0,0,PA2015-0252,,,,AP-1,3ª,-
SJNP,AERÓDROMO,NOVO PROGRESSO,NOVO PROGRESSO,PA,7° 7' 33'' S,55° 24' 3'' W,242 m,VFR Diurno,17/35,1050 m,28 m,"5700 kg / 0,5 MPa",Piçarra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2003-1367,0,0,0,PD2003-1367,,,,AD,-,-
SJOG,AERÓDROMO,ARIQUEMES,ARIQUEMES,RO,9° 53' 5'' S,63° 2' 56'' W,162 m,VFR Diurno,3/21,1306 m,18 m,"5700 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2007-0421,0,0,0,PA2007-0421,,,,AD,-,-
SJOH,AERÓDROMO,JURUTI,JURUTI,PA,2° 11' 12'' S,56° 5' 25'' W,33 m,VFR Diurno/Noturno,7/25,1050 m,18 m,"5700 kg / 0,5 MPa",Piçarra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2010-0661,0,0,0,PA2010-0661,,,,AD,-,-
SJQN,AERÓDROMO,QUIRINÓPOLIS,QUIRINÓPOLIS,GO,18° 26' 46'' S,50° 24' 33'' W,586 m,VFR Diurno,13/31,1500 m,30 m,PCN 10/F/C/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2003-0967,0,0,0,PD2003-0967,,,,AD,-,-
SJRG,AERÓDROMO,REGIONAL DE RIO GRANDE,RIO GRANDE,RS,32° 4' 54'' S,52° 9' 48'' W,8 m,VFR Diurno/Noturno,6/24,1500 m,30 m,PCN 11/F/B/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2009-0846,0,0,0,PA2009-0846,,,,AP-0,3ª,-
SJTS,AERÓDROMO,TERRA SANTA,TERRA SANTA,PA,2° 4' 22'' S,56° 29' 20'' W,25 m,VFR Diurno,12/30,1000 m,23 m,"5700 kg / 0,5 MPa",Piçarra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2004-1233,0,0,0,PD2004-1233,,,,AD,-,-
SJTZ,AERÓDROMO,DOM ELISEU,DOM ELISEU,PA,4° 18' 10'' S,47° 34' 54'' W,244 m,VFR Diurno,10/28,1200 m,18 m,"5700 kg / 0,5 MPa",Piçarra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2006-0123,0,0,0,PD2006-0123,,,,AD,-,-
SJVO,AERÓDROMO,ARAGARÇAS,ARAGARÇAS,GO,15° 53' 57'' S,52° 14' 43'' W,323 m,VFR Diurno,10/28,1010 m,30 m,PCN 14/F/B/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2005-1223,0,0,0,PD2005-1223,,,,AD,-,-
SNAB,AERÓDROMO,ARARIPINA,ARARIPINA,PE,7° 35' 40'' S,40° 31' 20'' W,669 m,VFR Diurno,13/31,1247 m,26 m,PCN 4/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1999-0315,0,0,0,PD1999-0315,,,,AD,-,-
SNAE,AERÓDROMO,ARCOVERDE,ARCOVERDE,PE,8° 25' 2'' S,37° 5' 1'' W,634 m,VFR Diurno/Noturno,15/33,1300 m,28 m,PCN 6/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1998-0178E,0,0,0,PD1998-0178E,,,,AD,-,-
SNAG,AERÓDROMO,ARAGUARI,ARAGUARI,MG,18° 40' 5'' S,48° 11' 25'' W,947 m,VFR Diurno,5/23,1500 m,30 m,PCN 14/F/A/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNAH,AERÓDROMO,ADUSTINA,ADUSTINA,BA,10° 34' 52'' S,38° 5' 19'' W,239 m,VFR Diurno,14/32,1100 m,20 m,PCN 10/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-0243,0,0,0,PA2016-0243,,,,AD,-,-
SNAI,AERÓDROMO,ALTO PARNAÍBA,ALTO PARNAÍBA,MA,9° 5' 1'' S,45° 57' 2'' W,295 m,VFR Diurno,14/32,1400 m,25 m,PCN 6/F/B/Y/U,Cascalho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1975-0062,0,0,0,PD1975-0062,,,,AD,-,-
SNAL,AERÓDROMO,ARAPIRACA,ARAPIRACA,AL,9° 46' 35'' S,36° 37' 50'' W,270 m,VFR Diurno/Noturno,10/28,930 m,18 m,PCN 13/F/B/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2004-0688,0,0,0,PD2004-0688,,,,AD,-,-
SNAM,AERÓDROMO,SANTO ANTÔNIO DO AMPARO,SANTO ANTÔNIO DO AMPARO,MG,20° 54' 41'' S,44° 53' 40'' W,1097 m,VFR Diurno/Noturno,18/36,1620 m,30 m,PCN 7/F/A/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1994-0447,0,0,0,PD1994-0447,,,,AD,-,-
SNAP,AERÓDROMO,JANAÚBA,JANAÚBA,MG,15° 43' 59'' S,43° 19' 26'' W,528 m,VFR Diurno,10/28,1500 m,30 m,"5700 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1995-0113,0,0,0,PD1995-0113,,,,AD,-,-
SNAR,AERÓDROMO,CIRILO QUEIRÓZ,ALMENARA,MG,16° 11' 2'' S,40° 40' 2'' W,195 m,VFR Diurno/Noturno,7/25,1400 m,30 m,PCN 8/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2005-0707,0,0,0,PD2005-0707,,,,AD,-,-
SNAS,AERÓDROMO,TRÊS MARIAS,TRÊS MARIAS,MG,18° 13' 30'' S,45° 11' 26'' W,786 m,VFR Diurno,6/24,1500 m,45 m,PCN 24/F/C/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1960-0132,0,0,0,PD1960-0132,,,,AD,-,-
SNAT,AERÓDROMO,ARACATI,ARACATI,CE,4° 34' 7'' S,37° 48' 17'' W,36 m,VFR Diurno/Noturno,9/27,1800 m,30 m,PCN 24/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-1447,0,0,0,PA2014-1447,,,,AD,-,-
SNAX,AERÓDROMO,MARCELO PIRES HALZHAUSEN,ASSIS,SP,22° 38' 24'' S,50° 27' 11'' W,558 m,VFR Diurno/Noturno,12/30,1689 m,30 m,PCN 25/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-0460,0,0,0,PA2016-0460,,,,AD,4ª,-
SNAZ,AERÓDROMO,AMARGOSA,AMARGOSA,BA,12° 59' 40'' S,39° 38' 26'' W,425 m,VFR Diurno,15/33,1120 m,25 m,PCN 8/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2001-0388,0,0,0,PD2001-0388,,,,AD,-,-
SNBA,AERÓDROMO,CHAFEI AMSEI (SBBT*),BARRETOS,SP,20° 35' 8'' S,48° 35' 45'' W,579 m,VFR Diurno/Noturno e IFR Diurno/Noturno,8/26,1800 m,30 m,PCN 32/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1993-0464,PD1998-0419E,0,0,PD1993-0464,PD1998-0419E,,,AP-0,3ª,-
SNBC,AERÓDROMO,BARRA DO CORDA,BARRA DO CORDA,MA,5° 30' 9'' S,45° 12' 57'' W,155 m,VFR Diurno,8/26,1560 m,30 m,PCN 13/F/B/Y/U,Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1971-0108,0,0,0,PD1971-0108,,,,AD,-,-
SNBG,AERÓDROMO,BAIXO GUANDU - AIMORÉS,BAIXO GUANDU,ES,19° 29' 56'' S,41° 2' 31'' W,80 m,VFR Diurno,11/29,1200 m,30 m,PCN 10/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-1984,0,0,0,PA2015-1984,,,,AD,-,-
SNBI,AERÓDROMO,BACABAL,BACABAL,MA,4° 13' 59'' S,44° 49' 19'' W,20 m,VFR Diurno,10/28,1600 m,30 m,PCN 25/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1991-0164,0,0,0,PD1991-0164,,,,AD,-,-
SNBJ,AERÓDROMO,BELO JARDIM,BELO JARDIM,PE,8° 20' 42'' S,36° 26' 28'' W,640 m,VFR Diurno,10/28,935 m,30 m,PCN 6/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2003-1032,0,0,0,PD2003-1032,,,,AD,-,-
SNBL,AERÓDROMO,BELMONTE,BELMONTE,BA,15° 52' 17'' S,38° 52' 21'' W,10 m,VFR Diurno,4/22,1200 m,30 m,PCN 12/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1987-0439,0,0,0,PD1987-0439,,,,AD,-,-
SNBM,AERÓDROMO,CRISTIANO FERREIRA VARELLA,MURIAÉ,MG,21° 7' 44'' S,42° 22' 1'' W,270 m,VFR Diurno,4/22,1140 m,23 m,PCN 12/F/B/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1999-0644,PD2000-0513,0,0,PD1999-0644,PD2000-0513,,,AD,-,-
SNBO,AERÓDROMO,BOQUIRA,BOQUIRA,BA,12° 47' 21'' S,42° 43' 38'' W,574 m,VFR Diurno,3/21,930 m,25 m,PCN 8/F/C/Y/U,Cascalho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-0459,0,0,0,PA2016-0459,,,,AD,-,-
SNBR,AERÓDROMO,BARREIRAS,BARREIRAS,BA,12° 4' 45'' S,45° 0' 34'' W,748 m,VFR Diurno/Noturno,8/26,1600 m,30 m,PCN 35/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-2208,0,0,0,PA2014-2208,,,,AP-1,3ª,-
SNBS,AERÓDROMO,BALSAS,BALSAS,MA,7° 31' 31'' S,46° 3' 12'' W,284 m,VFR Diurno,15/33,1000 m,23 m,PCN 14/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-2308,0,0,0,PA2015-2308,,,,AD,-,-
SNBT,AERÓDROMO,BENEDITO LEITE,BENEDITO LEITE,MA,7° 13' 1'' S,44° 33' 2'' W,300 m,VFR Diurno,12/30,1000 m,30 m,PCN 6/F/B/Y/U,Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNBW,AERÓDROMO,BAIÃO,BAIÃO,PA,2° 48' 1'' S,49° 40' 2'' W,32 m,VFR Diurno,10/28,1600 m,30 m,PCN 8/F/C/Y/U,Grama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNBX,AERÓDROMO,BARRA,BARRA,BA,11° 4' 52'' S,43° 8' 51'' W,389 m,VFR Diurno,6/24,1300 m,20 m,PCN 10/F/B/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-0574,0,0,0,PA2016-0574,,,,AD,-,-
SNBZ,AERÓDROMO,PARAMIRIM,PARAMIRIM,BA,13° 29' 26'' S,42° 13' 45'' W,627 m,VFR Diurno,18/36,1200 m,25 m,PCN 10/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-2656,0,0,0,PA2015-2656,,,,AD,-,-
SNCA,AERÓDROMO,CAMPO BELO,CAMPO BELO,MG,20° 53' 33'' S,45° 20' 8'' W,970 m,VFR Diurno,10/28,1420 m,30 m,PCN 25/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1995-0084,0,0,0,PD1995-0084,,,,AD,-,-
SNCE,AERÓDROMO,CAMPO DO MEIO,CAMPO DO MEIO,MG,21° 6' 22'' S,45° 48' 17'' W,780 m,VFR Diurno,10/28,1000 m,30 m,PCN 8/F/C/Y/U,Argila,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNCP,AERÓDROMO,CARUTAPERA,CARUTAPERA,MA,1° 15' 1'' S,46° 1' 2'' W,26 m,VFR Diurno,7/25,965 m,30 m,PCN 8/F/C/Y/U,Grama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNCS,AERÓDROMO,CAMPOS SALES,CAMPOS SALES,CE,7° 2' 58'' S,40° 21' 51'' W,610 m,VFR Diurno,11/29,1200 m,30 m,PCN 17/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2004-0367,0,0,0,PD2004-0367,,,,AD,-,-
SNCT,AERÓDROMO,CARATINGA,UBAPORANGA,MG,19° 43' 31'' S,42° 6' 40'' W,630 m,VFR Diurno,1/19,1080 m,30 m,"5000 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1992-0229,0,0,0,PD1992-0229,,,,AD,-,-
SNCU,AERÓDROMO,CURURUPU,CURURUPU,MA,1° 49' 16'' S,44° 52' 1'' W,12 m,VFR Diurno,11/29,750 m,30 m,PCN 8/F/C/Y/U,Grama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNCV,AERÓDROMO,CAMPINA VERDE,CAMPINA VERDE,MG,19° 32' 17'' S,49° 29' 42'' W,550 m,VFR Diurno,14/32,1000 m,25 m,PCN 8/F/C/Y/U,Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNCW,AERÓDROMO,CENTRO DE LANÇAMENTO DE ALCÂNTARA,ALCÂNTARA,MA,2° 22' 18'' S,44° 23' 27'' W,45 m,VFR Diurno/Noturno,9/27,2600 m,45 m,PCN 52/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1989-0398,0,0,0,PD1989-0398,,,,AD,-,-
SNCX,AERÓDROMO,COLATINA,COLATINA,ES,19° 29' 15'' S,40° 34' 46'' W,153 m,VFR Diurno/Noturno,14/32,1300 m,30 m,PCN 8/F/B/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-1204,0,0,0,PA2015-1204,,,,AD,-,-
SNCZ,AERÓDROMO,PONTE NOVA,PONTE NOVA,MG,20° 24' 11'' S,42° 55' 0'' W,572 m,VFR Diurno,7/25,1060 m,30 m,PCN 11/F/C/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1999-0818,0,0,0,PD1999-0818,,,,AD,-,-
SNDB,AERÓDROMO,RURÓPOLIS,RURÓPOLIS,PA,4° 5' 8'' S,54° 54' 39'' W,99 m,VFR Diurno,6/24,800 m,18 m,"5700 kg / 0,5 MPa",Piçarra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1998-0344E,0,0,0,PD1998-0344E,,,,AD,-,-
SNDC,AERÓDROMO,REDENÇÃO,REDENÇÃO,PA,8° 1' 52'' S,49° 58' 47'' W,207 m,VFR Diurno,6/24,960 m,30 m,PCN 7/F/C/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-0561,0,0,0,PA2015-0561,,,,AP-0,4ª,-
SNDJ,AERÓDROMO,SANTANA DOS BREJOS,SANTANA DOS BREJOS,BA,12° 58' 35'' S,44° 2' 20'' W,536 m,VFR Diurno,12/30,900 m,20 m,"5700 kg / 0,62 MPa",Piçarra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-0352,0,0,0,PA2016-0352,,,,AD,-,-
SNDN,AERÓDROMO,LEOPOLDINA,LEOPOLDINA,MG,21° 28' 19'' S,42° 43' 59'' W,280 m,VFR Diurno,12/30,1200 m,30 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNDT,AERÓDROMO,DIAMANTINA,DIAMANTINA,MG,18° 14' 0'' S,43° 39' 4'' W,1355 m,VFR Diurno,3/21,1450 m,30 m,PCN 15/F/B/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2009-1040,0,0,0,PA2009-1040,,,,AD,-,-
SNDV,AERÓDROMO,BRIGADEIRO ANTÔNIO CABRAL,DIVINÓPOLIS,MG,20° 10' 55'' S,44° 52' 12'' W,795 m,VFR Diurno/Noturno,17/35,1540 m,30 m,PCN 20/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-0019,0,0,0,PA2016-0019,,,,AP-1,3ª,-
SNDW,AERÓDROMO,DIVISA,ENCRUZILHADA,BA,15° 31' 10'' S,40° 52' 21'' W,826 m,VFR Diurno,8/26,1200 m,20 m,"2500 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-0350,0,0,0,PA2016-0350,,,,AD,-,-
SNEB,AERÓDROMO,AERODROMO DE PARAGOMINAS,PARAGOMINAS,PA,3° 1' 11'' S,47° 18' 59'' W,135 m,VFR Diurno/Noturno,9/27,1450 m,30 m,PCN 30/F/C/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2010-2084,0,0,0,PA2010-2084,,,,AD,-,-
SNED,AERÓDROMO,SÓCRATES REZENDE,CANAVIEIRAS,BA,15° 40' 50'' S,38° 56' 57'' W,6 m,VFR Diurno,13/31,1340 m,30 m,PCN 35/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1999-0433,0,0,0,PD1999-0433,,,,AP-0,4ª,-
SNEE,AERÓDROMO,VACARIA NOVO,VACARIA,RS,28° 25' 55'' S,51° 1' 22'' W,900 m,VFR Diurno,11/29,2020 m,30 m,PCN 32/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-0071,0,0,0,PA2014-0071,,,,AD,-,-
SNEL,AERÓDROMO,BELTERRA,BELTERRA,PA,2° 40' 1'' S,54° 54' 2'' W,165 m,VFR Diurno,10/28,2000 m,60 m,PCN 6/F/B/Y/U,Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNES,AERÓDROMO,ESPLANADA,ESPLANADA,BA,11° 45' 2'' S,37° 57' 1'' W,50 m,VFR Diurno,8/26,1200 m,30 m,PCN 10/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2001-0615,0,0,0,PD2001-0615,,,,AD,-,-
SNEU,AERÓDROMO,EUCLIDES DA CUNHA,EUCLIDES DA CUNHA,BA,10° 31' 39'' S,39° 1' 57'' W,462 m,VFR Diurno,18/36,1200 m,22 m,PCN 10/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-2104,0,0,0,PA2015-2104,,,,AD,-,-
SNFE,AERÓDROMO,COMANDANTE PASCHOAL PATROCÍNIO FILHO,ALFENAS,MG,21° 25' 54'' S,45° 55' 59'' W,875 m,VFR Diurno/Noturno,4/22,1600 m,30 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1998-0177E,0,0,0,PD1998-0177E,,,,AD,-,-
SNFO,AERÓDROMO,FORMIGA,FORMIGA,MG,20° 23' 43'' S,45° 29' 12'' W,1017 m,VFR Diurno,2/20,1030 m,23 m,PCN 8/F/C/Y/U,Cascalho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-0079,0,0,0,PA2016-0079,,,,AD,-,-
SNFR,AERÓDROMO,BELÉM DE SÃO FRANCISCO,BELÉM DE SÃO FRANCISCO,PE,8° 46' 1'' S,38° 57' 1'' W,315 m,VFR Diurno,15/33,1100 m,25 m,"2500 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNFU,AERÓDROMO,FRUTAL,FRUTAL,MG,20° 0' 17'' S,48° 57' 32'' W,551 m,VFR Diurno,7/25,1000 m,20 m,"5700 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1996-0238,0,0,0,PD1996-0238,,,,AD,-,-
SNFX,AERÓDROMO,SÃO FÉLIX DO XINGU,SÃO FÉLIX DO XINGU,PA,6° 38' 25'' S,51° 59' 24'' W,200 m,VFR Diurno,13/31,1600 m,33 m,PCN 45/F/C/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1978-0043,0,0,0,PD1978-0043,,,,AP-0,4ª,-
SNGA,AERÓDROMO,GUARAPARI,GUARAPARI,ES,20° 39' 2'' S,40° 29' 32'' W,9 m,VFR Diurno/Noturno,6/24,1190 m,30 m,PCN 13/F/C/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1999-0530,0,0,0,PD1999-0530,,,,AP-0,4ª,-
SNGB,AERÓDROMO,GILBUÉS,GILBUÉS,PI,9° 50' 1'' S,45° 22' 2'' W,450 m,VFR Diurno,9/27,1000 m,30 m,PCN 8/F/C/Y/U,Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNGD,AERÓDROMO,GUADALUPE,GUADALUPE,PI,6° 46' 56'' S,43° 34' 56'' W,172 m,VFR Diurno,15/33,1600 m,36 m,PCN 9/F/C/X/U,Piçarra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1970-0045,PD1970-0076,0,0,PD1970-0045,PD1970-0076,,,AD,-,-
SNGG,AERÓDROMO,GURGUÉIA,BOM JESUS,PI,9° 3' 34'' S,44° 22' 9'' W,325 m,VFR Diurno,16/34,1200 m,20 m,PCN 9/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1976-0142,0,0,0,PD1976-0142,,,,AD,-,-
SNGH,AERÓDROMO,GUANHÃES,GUANHÃES,MG,18° 42' 26'' S,42° 50' 20'' W,798 m,VFR Diurno/Noturno,17/35,1250 m,80 m,PCN 8/F/C/Y/U,Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SNGI,AERÓDROMO,GUANAMBI,GUANAMBI,BA,14° 12' 29'' S,42° 44' 46'' W,553 m,VFR Diurno/Noturno,14/32,1700 m,30 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-1765,0,0,0,PA2015-1765,,,,AP-0,4ª,-
